Question,Answer,Food_Name,question_category
What does Naan taste like?,"Naan is soft, fluffy, and slightly chewy with a mild, buttery flavor. It can also have a smoky taste when cooked in a tandoor.",naan,General
What is a samosa?,"A samosa is a fried or baked pastry with a savory filling, often shaped like a triangle.",samosa,General
How is Shashlyk prepared?,"Shashlyk is made by marinating meat (like lamb, beef, or chicken) in a mixture of spices, oil, and onions, then grilling it over an open flame.",shashlyk,General
What is the best way to eat a samosa?,"The best way to eat a samosa is hot, paired with chutneys or sauces.",samosa,General
Is Shashlyk spicy?,"Shashlyk is typically not very spicy, but it can have a mild kick depending on the spices used in the marinade.",shashlyk,Spiciness
Is Banh Pia sweet or savory?,"Banh Pia is typically sweet, but the salted egg yolk adds a savory element.",banh pia,General
Is Banh Pia a dessert?,"Yes, Banh Pia is commonly enjoyed as a dessert or snack.",banh pia,General
Is Banh Chung savory or sweet? What does it taste like?,"Banh Chung is savory with a mild, earthy flavor from mung beans and pork, complemented by the aroma of banana leaves.",banh chung,General
How is samosa cooked?,"Samosas are usually deep-fried, but they can also be baked for a healthier option.",samosa,General
Can I eat samosa if I have gluten allergies?,"No, traditional samosa dough contains gluten, so it is not suitable for those with gluten allergies.",samosa,General
Are there any allergens in Banh Pia?,"Yes, Banh Pia contains gluten, eggs, and durian, which can be allergens for some people.",banh pia,Allergens
What are the main ingredients in Shashlyk?,"The main ingredients in Shashlyk are meat (lamb, beef, or chicken), onions, spices, and oil.",shashlyk,Ingredients
What is the best way to customize Pho to my taste?,"You can adjust the flavor by adding lime juice, chili slices, sriracha, or hoisin sauce. For more texture, mix in fresh bean sprouts or herbs.",pho,General
Is it spicy?,"Samosas are mildly spiced, but they can be spicy depending on the filling and seasoning.",Pho,Spiciness
How is Pho typically eaten?,"Pho is traditionally eaten with chopsticks for the noodles and a spoon for the broth. You can customize it by adding bean sprouts, fresh herbs, lime juice, and sauces.",pho,General
How is Chao Long typically served?,"Chao Long is typically served hot in a bowl, garnished with fried shallots, fresh herbs, and a side of fish sauce or chili.",chao long,General
What is Naan?,Naan is a type of leavened flatbread commonly served in South Asian and Middle Eastern cuisines.,naan,General
Is Banh Chung filling enough for a full meal?,"Yes, it is dense and filling due to the sticky rice and pork filling, making it a hearty meal.",banh chung,General
Does Chao Long contain any allergens?,"Yes, it may contain pork and fish, which can be allergens for some people.",chao long,Allergens
What makes Banh Pia unique?,Banh Pia is unique because of its durian flavor and the balance of sweet and savory tastes.,banh pia,General
Is Pho filling enough for a full meal?,"Yes, Pho is a hearty meal. It includes noodles, protein, and fresh vegetables, making it satisfying on its own.",pho,General
Are there any dietary restrictions for Shashlyk?,"Shashlyk contains meat and certain spices. It may not be suitable for vegetarians, vegans, or those avoiding certain meats like pork.",shashlyk,Dietary Options
What is Banh Pia?,"Banh Pia is a traditional Vietnamese pastry with a flaky crust and a filling made of mung beans, durian, and salted egg yolk.",banh pia,General
What is Banh Cuon?,"Banh Cuon is a traditional Vietnamese dish made of thin steamed rice flour sheets filled with minced pork, wood ear mushrooms, and shallots.",banh cuon,General
Can Shawarma be made vegetarian?,"Yes, vegetarian Shawarma can be made using falafel or grilled vegetables instead of meat.",shawarma,Dietary Options
How do you eat Banh Cuon?,Banh Cuon is typically eaten with a fish sauce-based dipping sauce. You can dip each roll into the sauce for added flavor.,banh cuon,General
What are the main ingredients in Pilaf?,"The main ingredients are rice, oil, spices (like cumin or cardamom), onions, and optionally vegetables or meat.",pilaf,Ingredients
Does Banh Chung contain any common allergens?,"It contains glutinous rice, pork, and soy sauce, which may be allergens for some.",banh chung,Allergens
Are there any common allergens in Banh Cuon?,"Yes, it may contain fish (from fish sauce), pork, and mushrooms, which are common allergens for some people.",banh cuon,Allergens
